,SAC 0,Exports,SJR,DICU,Vern EC,SF_Tide,DXC
1940-02-06,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.414899826049805,0.0
1940-02-07,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.22760009765625,0.0
1940-02-08,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.925299644470215,0.0
1940-02-09,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.489799976348877,0.0
1940-02-10,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,4.813000202178955,0.0
1940-02-11,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,4.332499980926514,0.0
1940-02-12,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,3.964200019836426,0.0
1940-02-13,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,3.5467002391815186,0.0
1940-02-14,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,3.6476998329162598,0.0
1940-02-15,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,3.795300006866455,0.0
1940-02-16,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,4.0985002517700195,0.0
1940-02-17,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,4.628399848937988,0.0
1940-02-18,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.293999671936035,0.0
1940-02-19,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,5.998500347137451,0.0
1940-02-20,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,6.696700096130371,0.0
1940-02-21,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,7.172999858856201,0.0
1940-02-22,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,7.268700122833252,0.0
1940-02-23,69040.66619873047,6867.129207611084,3997.5029296875,-4521.15966796875,663.5068969726562,7.071499824523926,0.0
